source_enum	members	decision	current_enums	member_reuse	reason
include/kf/game_map.h:KfMapObjectAction	KF_MAP_OBJECT_ACTION_SWING_DOOR=0;KF_MAP_OBJECT_ACTION_SWING_DOOR_PARTNER=1;KF_MAP_OBJECT_ACTION_LIFT_DOOR=2;KF_MAP_OBJECT_ACTION_COPY_REGION=10;KF_MAP_OBJECT_ACTION_ENABLE_RESTORE_POINT=11;KF_MAP_OBJECT_ACTION_REVEAL_MAP_PIECE=12;KF_MAP_OBJECT_ACTION_PROJECTILE_EMITTER=80;KF_MAP_OBJECT_ACTION_RELEASE_ORBIT_OR_SHORT_SWING=81;KF_MAP_OBJECT_ACTION_RELEASE_LONG_SWING=82;KF_MAP_OBJECT_ACTION_EFFECT_SWITCH=83;KF_MAP_OBJECT_ACTION_FALL_AND_TIP=96;KF_MAP_OBJECT_ACTION_FALL_AND_SPIN=97;KF_MAP_OBJECT_ACTION_BOUNCE=98;KF_MAP_OBJECT_ACTION_IDLE=255	reuse	include/kf/game_map.h:KfMapObjectOperation	KF_MAP_OBJECT_ACTION_SWING_DOOR=include/kf/game_map.h:KF_MAP_OBJECT_OP_HINGED_DOOR;KF_MAP_OBJECT_ACTION_SWING_DOOR_PARTNER=include/kf/game_map.h:KF_MAP_OBJECT_OP_HINGED_DOOR_PARTNER;KF_MAP_OBJECT_ACTION_LIFT_DOOR=include/kf/game_map.h:KF_MAP_OBJECT_OP_LIFT_DOOR;KF_MAP_OBJECT_ACTION_COPY_REGION=include/kf/game_map.h:KF_MAP_OBJECT_OP_COPY_REGION;KF_MAP_OBJECT_ACTION_ENABLE_RESTORE_POINT=include/kf/game_map.h:KF_MAP_OBJECT_OP_RESTORE_POINT;KF_MAP_OBJECT_ACTION_REVEAL_MAP_PIECE=include/kf/game_map.h:KF_MAP_OBJECT_OP_REVEAL_MAP_PIECE;KF_MAP_OBJECT_ACTION_PROJECTILE_EMITTER=include/kf/game_map.h:KF_MAP_OBJECT_OP_PROJECTILE_EMITTER;KF_MAP_OBJECT_ACTION_RELEASE_ORBIT_OR_SHORT_SWING=include/kf/game_map.h:KF_MAP_OBJECT_OP_RELEASE_ORBIT_OR_SHORT_SWING;KF_MAP_OBJECT_ACTION_RELEASE_LONG_SWING=include/kf/game_map.h:KF_MAP_OBJECT_OP_RELEASE_LONG_SWING;KF_MAP_OBJECT_ACTION_EFFECT_SWITCH=include/kf/game_map.h:KF_MAP_OBJECT_OP_EFFECT_SWITCH;KF_MAP_OBJECT_ACTION_FALL_AND_TIP=include/kf/game_map.h:KF_MAP_OBJECT_OP_FALL_AND_TIP;KF_MAP_OBJECT_ACTION_FALL_AND_SPIN=include/kf/game_map.h:KF_MAP_OBJECT_OP_FALL_AND_SPIN;KF_MAP_OBJECT_ACTION_BOUNCE=include/kf/game_map.h:KF_MAP_OBJECT_OP_BOUNCE;KF_MAP_OBJECT_ACTION_IDLE=include/kf/game_map.h:KF_MAP_OBJECT_OP_NONE	Use the shared map operation enum and remove the behavior-to-action bridge and duplicate members; retain distinct operation/range names.
include/kf/game_map.h:KF_MAP_LINK_BOSS_EMITTERS	KF_MAP_LINK_BOSS_EMITTERS=13;KF_MAP_LINK_WEAPON_TRANSFORM_DOORS=51;KF_MAP_LINK_FLOOR5_SWORD_DOOR=52	retain	include/kf/game_map.h:KF_MAP_LINK_BOSS_EMITTERS		Map link IDs identify authored groups; item IDs and object-pool indices address other tables.
include/kf/game_map.h:KfMapCopyRegionId	KF_MAP_COPY_FLOOR1_GRAVESTONE=0;KF_MAP_COPY_FLOOR1_PASSAGE=1;KF_MAP_COPY_FLOOR3_REVEAL_FIRST=2;KF_MAP_COPY_FLOOR3_REVEAL_SECOND=3;KF_MAP_COPY_FLOOR5_BOSS_ENCOUNTER=4;KF_MAP_COPY_REGION_NONE=255	retain	include/kf/game_map.h:KfMapCopyRegionId		Copy-region IDs select authored rectangle records; floor IDs and region coordinates are separate values.
include/kf/game_map.h:KF_MAP_COPY_REGION_COUNT	KF_MAP_COPY_REGION_COUNT=5;KF_MAP_LINK_NONE=255;KF_MAP_OBJECT_PARAMETER_NONE=255;KF_MAP_LINK_REUSABLE_FIRST=128;KF_MAP_OBJECT_EFFECT_GROUP_CAPACITY=10;KF_MAP_OBJECT_GOLD_DROP_FIRST=160;KF_MAP_OBJECT_DEFINITION_DROP_FIRST=170;KF_MAP_OBJECT_PLACEMENT_DROP_FIRST=180	retain	include/kf/game_map.h:KF_MAP_COPY_REGION_COUNT		Map link/parameter absence and pool range boundaries retain their field/range meaning; counts and starts are not object-definition IDs.
include/kf/game_map.h:KfMapObjectProgress	KF_MAP_OBJECT_PROGRESS_INIT=0;KF_MAP_OBJECT_PROGRESS_RUNNING=1;KF_MAP_OBJECT_SWING_OPEN_LAST=31;KF_MAP_OBJECT_SWING_OPEN_END=32;KF_MAP_OBJECT_LIFT_OPEN_LAST=40;KF_MAP_OBJECT_LIFT_OPEN_END=41;KF_MAP_OBJECT_DOOR_HOLD_FIRST=250;KF_MAP_OBJECT_DOOR_CLOSE_FIRST=300;KF_MAP_OBJECT_SWING_CLOSE_END=332;KF_MAP_OBJECT_LIFT_CLOSE_END=341;KF_MAP_OBJECT_REVEAL_SETTLE_END=6;KF_MAP_OBJECT_SWITCH_READY=0;KF_MAP_OBJECT_SWITCH_FORWARD=1;KF_MAP_OBJECT_SWITCH_DISABLED=2;KF_MAP_OBJECT_SWITCH_REVERSE=3	retain	include/kf/game_map.h:KfMapObjectProgress		Progress is a shared action counter; door phase ranges and switch states retain their different transition meanings within that enum.
include/kf/game_map.h:KfMapObjectDropSource	KF_MAP_OBJECT_DROP_FROM_PLACEMENT=0;KF_MAP_OBJECT_DROP_FROM_DEFINITION=1	retain	include/kf/game_map.h:KfMapObjectDropSource		Drop source chooses a placement or definition interpretation; it is not an object ID or a Boolean success result.
include/kf/game_map.h:KfMapObjectId	KF_MAP_OBJECT_DRAGON_SWORD=10;KF_MAP_OBJECT_MOONLIGHT_SWORD=11;KF_MAP_OBJECT_GOLD_COIN=39;KF_MAP_OBJECT_DRAGON_CHALICE=56;KF_MAP_OBJECT_WATER_SEAL_STONE=63;KF_MAP_OBJECT_EARTH_SEAL_STONE=64;KF_MAP_OBJECT_FIRE_SEAL_STONE=68;KF_MAP_OBJECT_WIND_SEAL_STONE=69;KF_MAP_OBJECT_BEVELED_WOODEN_LID=81;KF_MAP_OBJECT_FLAT_WOODEN_LID=83;KF_MAP_OBJECT_STONE_CONTAINER_LID=85;KF_MAP_OBJECT_GRAVESTONE=89;KF_MAP_OBJECT_BROKEN_STONE_CROSS=92;KF_MAP_OBJECT_DROP_DISABLED=99;KF_MAP_OBJECT_DRY_FOUNTAIN=111;KF_MAP_OBJECT_BOSS_PROJECTILE_EMITTER=115;KF_MAP_OBJECT_LIFTING_GATE=117;KF_MAP_OBJECT_PORTCULLIS=118;KF_MAP_OBJECT_HINGED_DOOR=119;KF_MAP_OBJECT_HINGED_DOOR_PARTNER=120;KF_MAP_OBJECT_TALL_HINGED_DOOR=121;KF_MAP_OBJECT_TALL_HINGED_DOOR_PARTNER=122;KF_MAP_OBJECT_FILLED_FOUNTAIN=123;KF_MAP_OBJECT_FIRE_BALL_EMITTER=124;KF_MAP_OBJECT_WIND_CUTTER_EMITTER=125;KF_MAP_OBJECT_SIGNBOARD=130;KF_MAP_OBJECT_INSCRIPTION_PANEL=131;KF_MAP_OBJECT_EFFECT_SWITCH=135;KF_MAP_OBJECT_ORBITING_PROJECTILE=136;KF_MAP_OBJECT_PROJECTILE_EMITTER=137;KF_MAP_OBJECT_SHORT_SWING=138;KF_MAP_OBJECT_LONG_SWING=139;KF_MAP_OBJECT_FREE=255;KF_MAP_OBJECT_RENDER_ID_END=133;KF_MAP_DROP_TIP_ID_END=43;KF_MAP_DROP_SPIN_ID_END=48;KF_MAP_DROP_BOUNCE_ID_END=65	reuse	include/kf/item.h:KfObjectId	KF_MAP_OBJECT_DRAGON_SWORD=include/kf/item.h:KF_ITEM_DRAGON_SWORD;KF_MAP_OBJECT_MOONLIGHT_SWORD=include/kf/item.h:KF_ITEM_MOONLIGHT_SWORD;KF_MAP_OBJECT_GOLD_COIN=include/kf/item.h:KF_ITEM_GOLD_COIN;KF_MAP_OBJECT_DRAGON_CHALICE=include/kf/item.h:KF_ITEM_DRAGON_CHALICE;KF_MAP_OBJECT_WATER_SEAL_STONE=include/kf/item.h:KF_ITEM_WATER_SEAL_STONE;KF_MAP_OBJECT_EARTH_SEAL_STONE=include/kf/item.h:KF_ITEM_EARTH_SEAL_STONE;KF_MAP_OBJECT_FIRE_SEAL_STONE=include/kf/item.h:KF_ITEM_FIRE_SEAL_STONE;KF_MAP_OBJECT_WIND_SEAL_STONE=include/kf/item.h:KF_ITEM_WIND_SEAL_STONE;KF_MAP_OBJECT_BEVELED_WOODEN_LID=include/kf/item.h:KF_MAP_OBJECT_BEVELED_WOODEN_LID;KF_MAP_OBJECT_FLAT_WOODEN_LID=include/kf/item.h:KF_MAP_OBJECT_FLAT_WOODEN_LID;KF_MAP_OBJECT_STONE_CONTAINER_LID=include/kf/item.h:KF_MAP_OBJECT_STONE_CONTAINER_LID;KF_MAP_OBJECT_GRAVESTONE=include/kf/item.h:KF_MAP_OBJECT_GRAVESTONE;KF_MAP_OBJECT_BROKEN_STONE_CROSS=include/kf/item.h:KF_MAP_OBJECT_BROKEN_STONE_CROSS;KF_MAP_OBJECT_DROP_DISABLED=include/kf/item.h:KF_MAP_OBJECT_DROP_DISABLED;KF_MAP_OBJECT_DRY_FOUNTAIN=include/kf/item.h:KF_MAP_OBJECT_DRY_FOUNTAIN;KF_MAP_OBJECT_BOSS_PROJECTILE_EMITTER=include/kf/item.h:KF_MAP_OBJECT_BOSS_PROJECTILE_EMITTER;KF_MAP_OBJECT_LIFTING_GATE=include/kf/item.h:KF_MAP_OBJECT_LIFTING_GATE;KF_MAP_OBJECT_PORTCULLIS=include/kf/item.h:KF_MAP_OBJECT_PORTCULLIS;KF_MAP_OBJECT_HINGED_DOOR=include/kf/item.h:KF_MAP_OBJECT_HINGED_DOOR;KF_MAP_OBJECT_HINGED_DOOR_PARTNER=include/kf/item.h:KF_MAP_OBJECT_HINGED_DOOR_PARTNER;KF_MAP_OBJECT_TALL_HINGED_DOOR=include/kf/item.h:KF_MAP_OBJECT_TALL_HINGED_DOOR;KF_MAP_OBJECT_TALL_HINGED_DOOR_PARTNER=include/kf/item.h:KF_MAP_OBJECT_TALL_HINGED_DOOR_PARTNER;KF_MAP_OBJECT_FILLED_FOUNTAIN=include/kf/item.h:KF_MAP_OBJECT_FILLED_FOUNTAIN;KF_MAP_OBJECT_FIRE_BALL_EMITTER=include/kf/item.h:KF_MAP_OBJECT_FIRE_BALL_EMITTER;KF_MAP_OBJECT_WIND_CUTTER_EMITTER=include/kf/item.h:KF_MAP_OBJECT_WIND_CUTTER_EMITTER;KF_MAP_OBJECT_SIGNBOARD=include/kf/item.h:KF_MAP_OBJECT_SIGNBOARD;KF_MAP_OBJECT_INSCRIPTION_PANEL=include/kf/item.h:KF_MAP_OBJECT_INSCRIPTION_PANEL;KF_MAP_OBJECT_EFFECT_SWITCH=include/kf/item.h:KF_MAP_OBJECT_EFFECT_SWITCH;KF_MAP_OBJECT_ORBITING_PROJECTILE=include/kf/item.h:KF_MAP_OBJECT_ORBITING_PROJECTILE;KF_MAP_OBJECT_PROJECTILE_EMITTER=include/kf/item.h:KF_MAP_OBJECT_PROJECTILE_EMITTER;KF_MAP_OBJECT_SHORT_SWING=include/kf/item.h:KF_MAP_OBJECT_SHORT_SWING;KF_MAP_OBJECT_LONG_SWING=include/kf/item.h:KF_MAP_OBJECT_LONG_SWING;KF_MAP_OBJECT_FREE=include/kf/item.h:KF_OBJECT_NONE;KF_MAP_OBJECT_RENDER_ID_END=include/kf/item.h:KF_MAP_OBJECT_RENDER_ID_END;KF_MAP_DROP_TIP_ID_END=include/kf/item.h:KF_MAP_DROP_TIP_ID_END;KF_MAP_DROP_SPIN_ID_END=include/kf/item.h:KF_MAP_DROP_SPIN_ID_END;KF_MAP_DROP_BOUNCE_ID_END=include/kf/item.h:KF_MAP_DROP_BOUNCE_ID_END	Merge map-object and inventory IDs into KfObjectId: pickup handling transports IDs directly; retain scenery IDs and explicit range boundaries.
include/kf/game_map.h:KF_MAP_OBJECT_REVEAL_DEPTH	KF_MAP_OBJECT_REVEAL_DEPTH=10000;KF_MAP_OBJECT_REVEAL_SETTLE_STEP=40	retain	include/kf/game_map.h:KF_MAP_OBJECT_REVEAL_DEPTH		Reveal depth and settle step remain distinct. MAP_REVEAL_LIFT includes five settle steps and must not collapse to the base depth.
include/kf/game_map.h:KF_CAMERA_PATH_END_X	KF_CAMERA_PATH_END_X=-1;KF_CAMERA_PATH_FINISHED=-1	retain	include/kf/game_map.h:KF_CAMERA_PATH_END_X		The X terminator belongs to path data and finished belongs to the stepping return protocol; retain the two meanings rather than a universal -1.
include/kf/game_map.h:KfCharacterId	KF_CHARACTER_KEY_OF_THE_DEAD_EXCHANGE=3;KF_CHARACTER_HARP_EXCHANGE=7;KF_CHARACTER_HEALING_EXCHANGE=8;KF_CHARACTER_FLOOR3_DOOR_UNLOCKER=12	retain	include/kf/game_map.h:KfCharacterId		Character IDs choose dialogue/event records; they are not map object IDs, floor IDs or notification text IDs.
include/kf/game_map.h:KfMapEventState	KF_MAP_EVENT_INACTIVE=0;KF_MAP_EVENT_ACTIVE=1;KF_MAP_EVENT_DISABLED=3;KF_MAP_EVENT_FREE=255	retain	include/kf/game_map.h:KfMapEventState		Event activity/free states control the event pool; event behavior and the separate collision-turn flag remain independent.
include/kf/game_map.h:KfMapEventBehavior	KF_MAP_EVENT_BEHAVIOR_SHOP=0;KF_MAP_EVENT_BEHAVIOR_WANDER=1;KF_MAP_EVENT_BEHAVIOR_ANIMATION_LOOP=2	retain	include/kf/game_map.h:KfMapEventBehavior		Shop/wander/animation behavior selects event update logic; it does not share the map-object operation encoding.
include/kf/game_map.h:KfMapEventCollisionTurn	KF_MAP_EVENT_COLLISION_TURN_NONE=0;KF_MAP_EVENT_COLLISION_TURN_PENDING=1	retain	include/kf/game_map.h:KfMapEventCollisionTurn		Pending collision turn is separate from event activity and selected behavior; only the wander update consumes it.
include/kf/game_map.h:KF_DIALOGUE_STAGE_COUNT	KF_DIALOGUE_STAGE_COUNT=5;KF_DIALOGUE_FIRST_STAGE=1;KF_DIALOGUE_FIRST_PAGE=1;KF_DIALOGUE_GATE_RELOAD=3;KF_DIALOGUE_PAGE_DELAY_TICKS=40;KF_MAP_EVENT_ANIMATION_PHASE_MASK=4095;KF_MAP_EVENT_ANIMATION_TALK_POSE=2048;KF_MAP_EVENT_ANIMATION_WANDER_STEP=110;KF_MAP_EVENT_ANIMATION_LOOP_STEP=200;KF_MAP_EVENT_ANIMATION_TALK_STEP=200;KF_MAP_EVENT_ANIMATION_FINISH_STEP=400	retain	include/kf/game_map.h:KF_DIALOGUE_STAGE_COUNT		Dialogue stage/page bounds and animation phase/rates have separate dimensions; existing text/page delay constants serve their own controller.
include/kf/game_math.h:KF_FIXED4_BITS	KF_FIXED4_BITS=4;KF_FIXED6_BITS=6;KF_FIXED7_BITS=7;KF_FIXED7_ONE=128;KF_FIXED8_BITS=8;KF_FIXED11_BITS=11;KF_FIXED12_BITS=12;KF_FIXED12_ONE=4096;KF_ANGLE_EIGHTH_TURN=512;KF_ANGLE_QUARTER_TURN=1024;KF_ANGLE_HALF_TURN=2048;KF_ANGLE_THREE_QUARTER_TURN=3072;KF_ANGLE_FULL_TURN=4096;KF_ANGLE_WRAP_MASK=4095;KF_MATRIX_ROTATION_ELEMENTS=9;KF_LENGTH_SQUARE_DOWNSHIFT=3	retain	include/kf/game_math.h:KF_FIXED4_BITS		Fixed-point scales, angles and matrix shape are common representation constants. Equal 4096 values retain Q12-versus-turn units.
include/kf/game_math.h:KF_RANDOM_ANGLE_SHIFT	KF_RANDOM_ANGLE_SHIFT=3;KF_CONE_SEARCH_INITIAL_ANGLE_ERROR=30000	retain	include/kf/game_math.h:KF_RANDOM_ANGLE_SHIFT		The random-to-angle shift and initial cone ranking error are already shared by actor/event queries, not unrelated chance/distance controls.
include/kf/game_menu.h:KfMenuMode	KF_MENU_MODE_ROOT=0;KF_MENU_MODE_ITEM_PICKUP=1;KF_MENU_MODE_SHOP=2	retain	include/kf/game_menu.h:KfMenuMode		Menu mode dispatches root/pickup/shop and interprets different arguments; window layout IDs and menu result codes are separate protocols.
include/kf/game_menu.h:KF_MENU_ROOT_PENDING	KF_MENU_ROOT_PENDING=-99;KF_MENU_ROOT_GAME_LOADED=-3;KF_MENU_ROOT_RETURN_TO_INTRO=-2;KF_MENU_ROOT_NO_ITEM=-1	reuse	include/kf/game_menu.h:KfMenuResult	KF_MENU_ROOT_PENDING=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_MENU_ROOT_GAME_LOADED=include/kf/game_menu.h:KF_MENU_RESULT_GAME_LOADED;KF_MENU_ROOT_RETURN_TO_INTRO=include/kf/game_menu.h:KF_MENU_RESULT_RETURN_TO_INTRO;KF_MENU_ROOT_NO_ITEM=include/kf/game_menu.h:KF_MENU_RESULT_CANCELLED	Remove root-specific control aliases; encode the shared KfMenuResult controls in the root's ID/result channel.
include/kf/game_menu.h:KfMenuRootChoice	KF_ROOT_CHOICE_NONE=-1;KF_ROOT_CHOICE_USE_ITEM=0;KF_ROOT_CHOICE_USE_MAGIC=1;KF_ROOT_CHOICE_EQUIPMENT=2;KF_ROOT_CHOICE_STATUS=3;KF_ROOT_CHOICE_DROP_ITEM=4;KF_ROOT_CHOICE_SYSTEM=5;KF_ROOT_CHOICE_CONFIG=6	retain	include/kf/game_menu.h:KfMenuRootChoice		Root choices select distinct subpanels; equipment category, window resource ID and result status use different orderings.
include/kf/game_menu.h:KfMenuPanelPhase	KF_MENU_PANEL_OPEN=-99;KF_MENU_PANEL_CLOSED=-1	reuse	include/kf/game_menu.h:KfMenuResult	KF_MENU_PANEL_OPEN=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_MENU_PANEL_CLOSED=include/kf/game_menu.h:KF_MENU_RESULT_CANCELLED	Use KfMenuResult pending/cancelled for panel lifecycle, removing the two-valued phase alias domain.
include/kf/game_menu.h:KfEquipmentMenuCategory	KF_EQUIP_MENU_NONE=-1;KF_EQUIP_MENU_WEAPON=0;KF_EQUIP_MENU_MAGIC=1;KF_EQUIP_MENU_SHIELD=2;KF_EQUIP_MENU_HEAD=3;KF_EQUIP_MENU_BODY=4;KF_EQUIP_MENU_ARM=5;KF_EQUIP_MENU_LEG=6;KF_EQUIP_MENU_ACCESSORY=7	retain	include/kf/game_menu.h:KfEquipmentMenuCategory		Equipment menu categories include weapon/magic and have a different ordering from equipment-record slots; keep the actual menu order.
include/kf/game_menu.h:KF_MENU_ROOT_RETURN_ROW	KF_MENU_ROOT_RETURN_ROW=7;KF_MENU_ROOT_ROW_COUNT=8;KF_MENU_EQUIPMENT_RETURN_ROW=8;KF_MENU_EQUIPMENT_ROW_COUNT=9;KF_MENU_CONFIG_EFFECTS_ROW=0;KF_MENU_CONFIG_MUSIC_ROW=1;KF_MENU_CONFIG_GAUGES_ROW=2;KF_MENU_CONFIG_COMPASS_ROW=3;KF_MENU_CONFIG_SETTING_COUNT=4;KF_MENU_CONFIG_RETURN_ROW=4;KF_MENU_CONFIG_ROW_COUNT=5	retain	include/kf/game_menu.h:KF_MENU_ROOT_RETURN_ROW		Row counts and return rows bound loaded windows; config setting rows select individual option fields rather than root actions.
include/kf/game_menu.h:KfMenuConfirmKind	KF_MENU_CONFIRM_USE=0;KF_MENU_CONFIRM_DROP=1;KF_MENU_CONFIRM_YES_NO=2;KF_MENU_CONFIRM_BUY=3;KF_MENU_CONFIRM_SELL=4;KF_MENU_CONFIRM_EQUIP=5	retain	include/kf/game_menu.h:KfMenuConfirmKind		Confirmation kind chooses prompt text/layout; accepted/cancelled result and button-request state are separate inputs/outputs.
include/kf/game_menu.h:KfMenuPreviewMode	KF_MENU_PREVIEW_ITEM_MODEL=0;KF_MENU_PREVIEW_ITEM_DETAIL=1;KF_MENU_PREVIEW_MAGIC_ICON=2	retain	include/kf/game_menu.h:KfMenuPreviewMode		Preview mode selects model/detail/icon rendering, not the window layout ID or the item/spell payload.
include/kf/game_menu.h:KfItemPriceMode	KF_ITEM_PRICE_BUY=0;KF_ITEM_PRICE_SELL=1	reuse	include/kf/game_menu.h:KfTradeMode	KF_ITEM_PRICE_BUY=include/kf/game_menu.h:KF_TRADE_BUY;KF_ITEM_PRICE_SELL=include/kf/game_menu.h:KF_TRADE_SELL	Use KfTradeMode for pricing and shop buy/sell dispatch; both use the same transaction direction.
include/kf/game_menu.h:KfMenuWindowKind	KF_MENU_WINDOW_ROOT=0;KF_MENU_WINDOW_EQUIPMENT=1;KF_MENU_WINDOW_SYSTEM=2;KF_MENU_WINDOW_SAVE_LOAD=3;KF_MENU_WINDOW_SAVE=4;KF_MENU_WINDOW_LOAD=5;KF_MENU_WINDOW_CONFIG=6;KF_MENU_WINDOW_SHOP=7	retain	include/kf/game_menu.h:KfMenuWindowKind		Window IDs index COM/STAT.DAT layouts; root choice/equipment category IDs address different tables with different orders.
include/kf/game_menu.h:KF_MENU_WINDOW_LAYOUT_COUNT	KF_MENU_WINDOW_LAYOUT_COUNT=9	retain	include/kf/game_menu.h:KF_MENU_WINDOW_LAYOUT_COUNT		Window layout count includes its final zero record and is not the number of user-selectable root choices.
include/kf/game_menu.h:KfShopMenuAction	KF_SHOP_ACTION_NONE=-1;KF_SHOP_ACTION_BUY=0;KF_SHOP_ACTION_SELL=1	reuse	include/kf/game_menu.h:KfTradeMode	KF_SHOP_ACTION_NONE=include/kf/game_menu.h:KF_TRADE_NONE;KF_SHOP_ACTION_BUY=include/kf/game_menu.h:KF_TRADE_BUY;KF_SHOP_ACTION_SELL=include/kf/game_menu.h:KF_TRADE_SELL	Merge shop action and price mode into KfTradeMode, including its no-transaction sentinel.
include/kf/game_menu.h:KF_SHOP_ROW_BUY	KF_SHOP_ROW_BUY=0;KF_SHOP_ROW_SELL=1;KF_SHOP_ROW_RETURN=2;KF_SHOP_ROW_GOLD=3;KF_SHOP_CHOICE_COUNT=3	reuse	include/kf/game_menu.h:KF_SHOP_ROW_RETURN;include/kf/game_menu.h:KfTradeMode	KF_SHOP_ROW_BUY=include/kf/game_menu.h:KF_TRADE_BUY;KF_SHOP_ROW_SELL=include/kf/game_menu.h:KF_TRADE_SELL	Use trade buy/sell members directly as encoded row indices; keep return/gold rows and the choice count with the shop layout.
include/kf/game_menu.h:KfMenuConfirmState	KF_MENU_CONFIRM_IDLE=0;KF_MENU_CONFIRM_REQUESTED=1	retain	include/kf/game_menu.h:KfMenuConfirmState		Confirm-request state is button input, separate from the selected accept/decline option and the resulting completion code.
include/kf/game_menu.h:KfMenuConfirmChoice	KF_MENU_CHOICE_ACCEPT=0;KF_MENU_CHOICE_DECLINE=1	retain	include/kf/game_menu.h:KfMenuConfirmChoice		Accept/decline is the option index; menu_confirm_result_from_choice negates it to produce accepted/cancelled results.
include/kf/game_menu.h:KfMenuConfirmResult	KF_MENU_CONFIRM_PENDING=-99;KF_MENU_CONFIRM_CANCELLED=-1;KF_MENU_CONFIRM_ACCEPTED=0	reuse	include/kf/game_menu.h:KfMenuResult	KF_MENU_CONFIRM_PENDING=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_MENU_CONFIRM_CANCELLED=include/kf/game_menu.h:KF_MENU_RESULT_CANCELLED;KF_MENU_CONFIRM_ACCEPTED=include/kf/game_menu.h:KF_MENU_RESULT_ACCEPTED	Use the shared KfMenuResult protocol; retain the actual choice-to-result negation at the input boundary.
include/kf/game_menu.h:MENU_CONFIRM_TEXT_X	MENU_CONFIRM_TEXT_X=96;MENU_CONFIRM_ROW_STEP=20	retain	include/kf/game_menu.h:MENU_CONFIRM_TEXT_X		Confirmation text X and row pitch are distinct layout dimensions, not status values or font-cell dimensions.
include/kf/game_menu.h:KF_MENU_LIST_PENDING	KF_MENU_LIST_PENDING=-99;KF_MENU_LIST_NO_SELECTION=-1	reuse	include/kf/game_menu.h:KfMenuResult	KF_MENU_LIST_PENDING=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_MENU_LIST_NO_SELECTION=include/kf/game_menu.h:KF_MENU_RESULT_CANCELLED	Remove list-specific signed controls; encode the shared pending/cancelled results in ID/row channels.
include/kf/game_menu.h:KfMagicPanelResult	KF_MAGIC_PANEL_PENDING=-99;KF_MAGIC_PANEL_CANCELLED=-1;KF_MAGIC_PANEL_HEALING=0;KF_MAGIC_PANEL_DISPOISON=1;KF_MAGIC_PANEL_RESIST_FIRE=2;KF_MAGIC_PANEL_BLESS=3	reuse	include/kf/game_menu.h:KfMenuResult;include/kf/magic.h:KfEffectKind	KF_MAGIC_PANEL_PENDING=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_MAGIC_PANEL_CANCELLED=include/kf/game_menu.h:KF_MENU_RESULT_CANCELLED;KF_MAGIC_PANEL_HEALING=include/kf/magic.h:KF_MAGIC_HEALING;KF_MAGIC_PANEL_DISPOISON=include/kf/magic.h:KF_MAGIC_DISPOISON;KF_MAGIC_PANEL_RESIST_FIRE=include/kf/magic.h:KF_MAGIC_RESIST_FIRE;KF_MAGIC_PANEL_BLESS=include/kf/magic.h:KF_MAGIC_BLESS	Replace duplicated controls and spell members with a selection type accepting KfMenuResult or the shared spell/effect ID directly.
include/kf/game_menu.h:KF_MENU_SYSTEM_LOAD_ROW	KF_MENU_SYSTEM_LOAD_ROW=0;KF_MENU_SYSTEM_QUIT_ROW=1;KF_MENU_SYSTEM_RETURN_ROW=2;KF_MENU_SYSTEM_ROW_COUNT=3;KF_MENU_SAVE_FORMAT_ROW=3;KF_MENU_SAVE_RETURN_ROW=4;KF_MENU_SAVE_ROW_COUNT=5;KF_MENU_LOAD_RETURN_ROW=3;KF_MENU_LOAD_ROW_COUNT=4	reuse	include/kf/game_menu.h:KF_MENU_SYSTEM_RETURN_ROW;include/kf/game_menu.h:KfMenuSystemAction	KF_MENU_SYSTEM_LOAD_ROW=include/kf/game_menu.h:KF_MENU_SYSTEM_ACTION_LOAD;KF_MENU_SYSTEM_QUIT_ROW=include/kf/game_menu.h:KF_MENU_SYSTEM_ACTION_QUIT	Use the system action enum directly for load/quit rows; keep window-specific return rows, counts and save-slot-derived positions.
include/kf/game_menu.h:KfMenuSystemAction	KF_MENU_SYSTEM_ACTION_NONE=-1;KF_MENU_SYSTEM_ACTION_LOAD=0;KF_MENU_SYSTEM_ACTION_QUIT=1	canonical	include/kf/game_menu.h:KfMenuSystemAction		Canonical system actions own load/quit encodings. They differ from root choice, shop transaction and window resource IDs.
include/kf/game_menu.h:KfMenuSystemResult	KF_MENU_SYSTEM_PENDING=-99;KF_MENU_SYSTEM_CANCELLED=-1;KF_MENU_SYSTEM_LOADED=-3;KF_MENU_SYSTEM_ACCEPTED=0	reuse	include/kf/game_menu.h:KfMenuResult	KF_MENU_SYSTEM_PENDING=include/kf/game_menu.h:KF_MENU_RESULT_PENDING;KF_MENU_SYSTEM_CANCELLED=include/kf/game_menu.h:KF_MENU_RESULT_CANCELLED;KF_MENU_SYSTEM_LOADED=include/kf/game_menu.h:KF_MENU_RESULT_GAME_LOADED;KF_MENU_SYSTEM_ACCEPTED=include/kf/game_menu.h:KF_MENU_RESULT_ACCEPTED	Use KfMenuResult for the system hub and confirmation callees; remove no-op result-to-result conversion wrappers.
